NOM_LIEU,DEP,COMMUNE,CODE_INSEE,CODE_POSTAL,RAYONNEMENT,GPE_800M,GPE_STATION,GPE_LIGNE,CARTO_BIB,BIB_RECENT2000,BIB_OUV_DIM,BIB_SURFM2,BIB_GESTION,BIB_CODE_OBS_LIVRE,CARTO_CINEMA,CINE_TYPE,CINE_NBRE_ECRAN,CARTO_MUSEE,MUSEE_TYPE,CENTRE_INTERPRETATION,CARTO_EXPO,EXPO_TYPE,EXPO_TRAM,CARTO_PATRIMOINE,MAISON_ILLUSTRES,CARTO_SPECTACLE,SPECT_TYPE,RES_G20_T,RES_ACTES_IF,CARTO_ENSEIGNEMENT,ENS_SUP_CULTURE,CARTO_PRATIQUES_AMATEURS,PRATIQUES_AMATEURS,CARTO_FREQ,FREQ_2013,ARCHIVES,N_VOIE,C_SUF1,C_SUF2,C_SUF3,C_DESI,C_LIAISON,L_VOIE,N_SQ_EP,C_NIV1,C_NIV2,C_NIV3,COORD_X,COORD_Y
Centre Culturel Coren,75.0,Paris 16e Arrondissement,75116.0,75016.0,3.0,Non,,,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,2.0,,,,AV,D',IENA,753000919.0,13.0,133.0,13321.0,6480954971.0,6862795202.0
Centre Culturel Suisse,75.0,Paris 3e Arrondissement,75103.0,75003.0,3.0,Non,,,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,32.0,,,,RUE,DES,FRANCS BOURGEOIS,753001033.0,13.0,133.0,13321.0,6530207562.0,6862216518.0
Centre d'Animation - Maison des Ensembles,75.0,Paris 12e Arrondissement,75112.0,75012.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,3.0,,,,RUE,,ALIGRE,752010639.0,10.0,106.0,10614.0,6542976806.0,6861065329.0
Centre d'Animation Antenne Saint-Honor,75.0,Paris 1er Arrondissement,75101.0,75001.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,32.0,,,,PL,,MARCHE SAINT-HONORE,752002128.0,10.0,106.0,10614.0,6510162446.0,6863187305.0
Centre d'Animation Arras,75.0,Paris 5e Arrondissement,75105.0,75005.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,48.0,,,,RUE,,CARDINAL LEMOINE,752002131.0,10.0,106.0,10614.0,6523954304.0,6860916114.0
Centre d'Animation Bercy,75.0,Paris 12e Arrondissement,75112.0,75012.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,51.0,,,,RUE,,FRANCOIS TRUFFAUT,752002144.0,10.0,106.0,10614.0,6550192376.0,6859541962.0
Centre d'Animation Binet,75.0,Paris 18e Arrondissement,75118.0,75018.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,28.0,,,,AV,DE LA,PORTE MONTMARTRE,753003467.0,10.0,106.0,10614.0,6513013857.0,6866883103.0
Centre d'Animation Binet,75.0,Paris 18e Arrondissement,75118.0,75018.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,21.0,,,,RUE,,MAURICE GRIMAUD,753002661.0,10.0,106.0,10614.0,6513420172.0,6866892364.0
Centre d'Animation Brancion,75.0,Paris 15e Arrondissement,75115.0,75015.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,18.0,,,,AV,,PORTE BRANCION,752002162.0,10.0,106.0,10614.0,6486279969.0,6858723233.0
Centre d'Animation Censier,75.0,Paris 5e Arrondissement,75105.0,75005.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,12.0,,,,RUE,,CENSIER,752002132.0,10.0,106.0,10614.0,6526328989.0,6860291667.0
Centre d'Animation Charles Hermite,75.0,Paris 18e Arrondissement,75118.0,75018.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,54.0,,,,BD,,NEY,753000155.0,10.0,106.0,10614.0,6533364167.0,6866716411.0
Centre d'Animation Clavel,75.0,Paris 19e Arrondissement,75119.0,75019.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,26.0,,,,RUE,,CLAVEL,752002170.0,10.0,106.0,10614.0,6548584364.0,6864197821.0
Centre d'Animation Curial,75.0,Paris 19e Arrondissement,75119.0,75019.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,90.0,,,,RUE,,CURIAL,752002171.0,10.0,106.0,10614.0,6542482294.0,686633089.0
Centre d'Animation Daviel,75.0,Paris 13e Arrondissement,75113.0,75013.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,24.0,,,,RUE,,DAVIEL,752002149.0,10.0,106.0,10614.0,6518945422.0,6858922239.0
Centre d'Animation des Abbesses,75.0,Paris 18e Arrondissement,75118.0,75018.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,10.0,,,,PAS,,ABBESSES,752002166.0,10.0,106.0,10614.0,6514805793.0,6865239809.0
Centre d'Animation des Frres Voisin,75.0,Paris 15e Arrondissement,75115.0,75015.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,36.0,,,,RUE,,COLONEL PIERRE AVIA,752002159.0,10.0,106.0,10614.0,6466929728.0,685900316.0
Centre d'Animation Dunois,75.0,Paris 13e Arrondissement,75113.0,75013.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,61.0,,,,RUE,,DUNOIS,752002151.0,10.0,106.0,10614.0,6535286067.0,6859348323.0
Centre d'Animation Espace Beaujon,75.0,Paris 8e Arrondissement,75108.0,75008.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,208.0,,,,RUE,,FAUBOURG SAINT-HONORE,752002136.0,10.0,106.0,10614.0,6489968934.0,6864151411.0
Centre d'Animation Espace Cvennes,75.0,Paris 15e Arrondissement,75115.0,75015.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,9.0,,,,RUE,,MONTAGNE D'AULAS,752002161.0,10.0,106.0,10614.0,6470716802.0,686027619.0
Centre d'Animation Espace Chteau Landon,75.0,Paris 10e Arrondissement,75110.0,75010.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,31.0,,,,RUE,,CHATEAU LANDON,752002138.0,10.0,106.0,10614.0,6533432052.0,6864990605.0
Centre d'Animation Espace Jemmapes,75.0,Paris 10e Arrondissement,75110.0,75010.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,116.0,,,,QU,,JEMMAPES,752002140.0,10.0,106.0,10614.0,6533365956.0,6864057711.0
Centre d'Animation Eugne Oudin,75.0,Paris 13e Arrondissement,75113.0,75013.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,5.0,,,,RUE,,EUGENE OUDINE,753000153.0,10.0,106.0,10614.0,6542126544.0,6858606257.0
Centre d'Animation Grange aux Belles,75.0,Paris 10e Arrondissement,75110.0,75010.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,55.0,,,,RUE,,GRANGE AUX BELLES,752002139.0,10.0,106.0,10614.0,6537003224.0,6864277894.0
Centre d'Animation Hautefeuille,75.0,Paris 6e Arrondissement,75106.0,75006.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,19.0,,,,RUE,,HAUTEFEUILLE,753002128.0,10.0,106.0,10614.0,6516956968.0,6861445939.0
Centre d'Animation Hebert,75.0,Paris 18e Arrondissement,75118.0,75018.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,12.0,,,,RUE,,FILLETTES,752002168.0,10.0,106.0,10614.0,6533281047.0,6866238826.0
Centre d'Animation Jean Verdier,75.0,Paris 10e Arrondissement,75110.0,75010.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,11.0,,,,RUE,,LANCRY,752002141.0,10.0,106.0,10614.0,6530697174.0,6863454454.0
Centre d'Animation Ken Saro-Wiwa,75.0,Paris 20e Arrondissement,75120.0,75020.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,61.0,,,,RUE,,BUZENVAL,753002144.0,10.0,106.0,10614.0,656029819.0,6861581104.0
Centre d'Animation La Chapelle,75.0,Paris 18e Arrondissement,75118.0,75018.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,32.0,,,,BD,,CHAPELLE,752002167.0,10.0,106.0,10614.0,6531521218.0,6865144425.0
Centre d'Animation Les Amandiers,75.0,Paris 20e Arrondissement,75120.0,75020.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,110.0,,,,RUE,,AMANDIERS,752002174.0,10.0,106.0,10614.0,6551516952.0,6863284273.0
Centre d'Animation Les Halles - Le Marais,75.0,Paris 1er Arrondissement,75101.0,75001.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,6.0,,,,PL,,CARREE,752002129.0,10.0,106.0,10614.0,6518713136.0,6862764768.0
Centre d'Animation Louis Lumire,75.0,Paris 20e Arrondissement,75120.0,75020.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,46.0,,,,RUE,,LOUIS LUMIERE,752002175.0,10.0,106.0,10614.0,6568226919.0,6862425387.0
Centre d'Animation Marc Sangnier,75.0,Paris 14e Arrondissement,75114.0,75014.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,20.0,,,,AV,,MARC SANGNIER,752002155.0,10.0,106.0,10614.0,6491113612.0,6858649563.0
Centre d'Animation Mathis,75.0,Paris 19e Arrondissement,75119.0,75019.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,15.0,,,,RUE,,MATHIS,752002172.0,10.0,106.0,10614.0,6541765079.0,6865817789.0
Centre d'Animation Maurice Ravel,75.0,Paris 12e Arrondissement,75112.0,75012.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,6.0,,,,AV,,MAURICE RAVEL,752002146.0,10.0,106.0,10614.0,6568257992.0,6860356122.0
Centre d'Animation Mercoeur,75.0,Paris 11e Arrondissement,75111.0,75011.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,4.0,,,,RUE,,MERCOEUR,752002142.0,10.0,106.0,10614.0,6547399658.0,6862049838.0
Centre d'Animation Mongallet,75.0,Paris 12e Arrondissement,75112.0,75012.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,4.0,,,,PAS,,STINVILLE,752002147.0,10.0,106.0,10614.0,6551145178.0,6860641588.0
Centre d'Animation Montparnasse,75.0,Paris 14e Arrondissement,75114.0,75014.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,26.0,,,,ALL,,CHEF D'ESCADRON DE GUILLEB,752002157.0,10.0,106.0,10614.0,6501052928.0,6860246881.0
Centre d'Animation Place des Ftes,75.0,Paris 19e Arrondissement,75119.0,75019.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,2.0,,,,RUE,,LILAS,752010623.0,10.0,106.0,10614.0,6556802699.0,6864392634.0
Centre d'Animation Point du jour,75.0,Paris 16e Arrondissement,75116.0,75016.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,1.0,,,,RUE,DU,GENERAL MALLETERRE,753003466.0,10.0,106.0,10614.0,6459469274.0,6859946458.0
Centre d'Animation Rebeval,75.0,Paris 19e Arrondissement,75119.0,75019.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,36.0,,,,RUE,,REBEVAL,752002173.0,10.0,106.0,10614.0,6544092732.0,6863978877.0
Centre d'Animation Ren Goscinny,75.0,Paris 13e Arrondissement,75113.0,75013.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,14.0,,,,RUE,,RENE GOSCINNY,753002132.0,10.0,106.0,10614.0,6544668214.0,6859130265.0
Centre d'animation Rennes,75.0,Paris 6e Arrondissement,75106.0,75006.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,76.0,B,,,RUE,,RENNES,753002643.0,10.0,106.0,10614.0,6508625006.0,6861423932.0
Centre d'Animation Reuilly,75.0,Paris 12e Arrondissement,75112.0,75012.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,19.0,,,,RUE,,HENARD,752002145.0,10.0,106.0,10614.0,6551947625.0,6860432827.0
Centre d'Animation Richet,75.0,Paris 13e Arrondissement,75113.0,75013.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,12.0,,,,RUE,,DOCTEUR CHARLES RICHET,752002150.0,10.0,106.0,10614.0,6533109484.0,6859280596.0
Centre d'Animation Saint-Michel,75.0,Paris 6e Arrondissement,75106.0,75006.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,9.0,,,,PL,,SAINT-MICHEL,752002135.0,10.0,106.0,10614.0,6518348616.0,6861661836.0
Centre d'Animation Saint-Michel (annexe La Bourdonnais),75.0,Paris 7e Arrondissement,75107.0,75007.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,105.0,,,,AV,,DE LA BOURDONNAIS,750000014.0,10.0,106.0,10614.0,6489402951.0,6861916664.0
Centre d'Animation Simon Lefranc,75.0,Paris 4e Arrondissement,75104.0,75004.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,9.0,,,,RUE,,SIMON LEFRANC,750000005.0,10.0,106.0,10614.0,6525737081.0,686242312.0
Centre d'Animation Sohane Benziane,75.0,Paris 15e Arrondissement,75115.0,75015.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,20.0,,,,RUE,,GEORGES DUHAMEL,752010627.0,10.0,106.0,10614.0,6494931117.0,6859732456.0
Centre d'Animation Solidarit Angle Mercier,75.0,Paris 19e Arrondissement,75119.0,75019.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,135.0,,,,BD,,SERURIER,752010640.0,10.0,106.0,10614.0,655589944.0,6865093435.0
Centre d'Animation Tour des Dames,75.0,Paris 9e Arrondissement,75109.0,75009.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,14.0,,,,RUE,,TOUR DAMES,753002658.0,10.0,106.0,10614.0,6510511768.0,68644075.0
Centre d'Animation Valeyre,75.0,Paris 9e Arrondissement,75109.0,75009.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,24.0,,,,RUE,,ROCHECHOUART,752002137.0,10.0,106.0,10614.0,6519620362.0,6864415479.0
Centre d'Animation Vercingetorix,75.0,Paris 14e Arrondissement,75114.0,75014.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,181.0,,,,RUE,,VERCINGETORIX,752002156.0,10.0,106.0,10614.0,6493268252.0,6859272234.0
Centre d'animation Victor Gelez,75.0,Paris 11e Arrondissement,75111.0,75011.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,3.0,,,,RUE,,VICTOR GELEZ,753002642.0,10.0,106.0,10614.0,6547288331.0,686294696.0
Centre d'Animation Villiot Rape,75.0,Paris 12e Arrondissement,75112.0,75012.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,36.0,,,,QU,DE LA,RAPEE,752010637.0,10.0,106.0,10614.0,6540134136.0,6860349734.0
Centre d'Animation Wangari Maathai,75.0,Paris 20e Arrondissement,75120.0,75020.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,15.0,,,,RUE,,MOURAUD,753002662.0,10.0,106.0,10614.0,6565324722.0,6861852027.0
Centre de Danse Alsia - Danse,75.0,Paris 14e Arrondissement,75114.0,75014.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,119.0,,,,AV,DU,GENERAL LECLERC,753000627.0,13.0,132.0,13211.0,6505166356.0,6858450953.0
Centre de Danse du Marais - Danse,75.0,Paris 4e Arrondissement,75104.0,75004.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,41.0,,,,RUE,DU,TEMPLE,753000645.0,13.0,132.0,13211.0,6526021717.0,6862363594.0
Centre de Danse Momboye - Danse,75.0,Paris 20e Arrondissement,75120.0,75020.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,25.0,,,,RUE,,BOYER,753000964.0,13.0,132.0,13211.0,6554032768.0,6863354891.0
Centre de la Chanson,75.0,Paris 4e Arrondissement,75104.0,75004.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,24.0,,,,RUE,,GEOFFROY L'ASNIER,753002062.0,13.0,132.0,13211.0,6527885751.0,6861840769.0
Centre de la Mer et des Eaux (Institut Ocanographique),75.0,Paris 5e Arrondissement,75105.0,75005.0,3.0,Non,,,,,,,,,,,,Oui,,sciences,Oui,sciences,,,,,,,,,,,,,,,195.0,,,,RUE,,SAINT-JACQUES,752003557.0,13.0,133.0,13311.0,6517248827.0,6860683785.0
Centre d'Ecriture et de Ralisation Chorgraphique - Danse,75.0,Paris 20e Arrondissement,75120.0,75020.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,1.0,,,,RUE,,BOYER,753000690.0,13.0,132.0,13211.0,6554540046.0,6863166159.0
Centre d'Etudes Musicales de Paris,75.0,Paris 14e Arrondissement,75114.0,75014.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,20.0,,,,RUE,DU,COMMANDANT RENE MOUCHOTTE,753000742.0,13.0,132.0,13211.0,6500885312.0,6860091376.0
Centre International de danse Jazz - Danse,75.0,Paris 9e Arrondissement,75109.0,75009.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,54.0,,,,RUE,DE,CLICHY,753001043.0,13.0,132.0,13211.0,6507810041.0,6864718036.0
Centre Musical Barbara Fleury Goutte d'Or,75.0,Paris 18e Arrondissement,75118.0,75018.0,2.0,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,1.0,,,,RUE,,FLEURY,753002746.0,13.0,133.0,13313.0,6526297326.0,6865118385.0
Centre Musical Fleury Goutte d'Or Barbara,75.0,Paris 18e Arrondissement,75118.0,75018.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,1.0,,,,RUE,,FLEURY,753000154.0,10.0,106.0,10614.0,6526297326.0,6865118385.0
Centre Nadopasana,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,19.0,,,,AV,DE,CLICHY,753000766.0,13.0,132.0,13211.0,6506085999.0,6865230662.0
Centre National d'Arts et de la Culture Georges Pompidou,75.0,Paris 4e Arrondissement,75104.0,75004.0,1.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,3.0,,A,,RUE,,BEAUBOURG,751000469.0,13.0,134.0,13417.0,652513008.0,6862470536.0
Centre Socio-culturel Kellermann Rungis Tolbiac,75.0,Paris 13e Arrondissement,75113.0,75013.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,77.0,b,,,RUE,,VERGNIAUD,753002094.0,13.0,134.0,13414.0,6518872116.0,685843461.0
Cercle de la Forme Bastille - Danse,75.0,Paris 12e Arrondissement,75112.0,75012.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,80.0,,,,RUE,,TRAVERSIERE,753000615.0,13.0,132.0,13211.0,6542190698.0,6861398165.0
Cercle de la Forme Bolivar - Danse,75.0,Paris 19e Arrondissement,75119.0,75019.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,108.0,,,,AV,,SIMON BOLIVAR,753000677.0,13.0,132.0,13211.0,6541243509.0,686450065.0
Cercle de la Forme Maillot - Danse,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,20.0,,,,RUE,,GUERSANT,753000954.0,13.0,132.0,13211.0,6479567939.0,6864739885.0
Cercle de la Forme Ornano - Danse,75.0,Paris 18e Arrondissement,75118.0,75018.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,124.0,,,,RUE,DU,MONT CENIS,753000960.0,13.0,132.0,13211.0,6521173579.0,6866530758.0
Cercle de la Forme Rpublique - Danse,75.0,Paris 11e Arrondissement,75111.0,75011.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,11.0,,,,RUE,DE,MALTE,753000834.0,13.0,132.0,13211.0,6536990434.0,6862830109.0
Cercle de la Forme Saint-Lazare - Danse,75.0,Paris 9e Arrondissement,75109.0,75009.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,94.0,,,,RUE,,SAINT-LAZARE,753001042.0,13.0,132.0,13211.0,6507159327.0,6864188423.0
Chapelle Notre-Dame de la mdaille miraculeuse,75.0,Paris 7e Arrondissement,75107.0,75007.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,2000000.0,,140.0,,,,RUE,DU,BAC,753003347.0,21.0,211.0,21111.0,6503760612.0,6861424479.0
Cin 13 Thtre,75.0,Paris 18e Arrondissement,75118.0,75018.0,3.0,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,1.0,,,,AV,,JUNOT,752003839.0,13.0,133.0,13312.0,6513799541.0,6865489689.0
Cinma Accatone,75.0,Paris 5e Arrondissement,75105.0,75005.0,3.0,Non,,,,,,,,,Oui,gnraliste,1.0,,,,,,,,,,,,,,,,,,,,20.0,,,,RUE,,CUJAS,752004199.0,13.0,136.0,13611.0,6517116774.0,6861101313.0
Cinma Action Christine,75.0,Paris 6e Arrondissement,75106.0,75006.0,3.0,Non,,,,,,,,,Oui,AE 2013,2.0,,,,,,,,,,,,,,,,,,,,4.0,,,,RUE,,CHRISTINE,752004209.0,13.0,136.0,13611.0,6515826875.0,6861804238.0
Cinma Chaplin Denfert,75.0,Paris 14e Arrondissement,75114.0,75014.0,3.0,Non,,,,,,,,,Oui,gnraliste,1.0,,,,,,,,,,,,,,,,,,,,24.0,,,,PL,,DENFERT ROCHEREAU,752004258.0,13.0,136.0,13611.0,6508912329.0,6859522114.0
Cinma Chaplin Saint-Lambert,75.0,Paris 15e Arrondissement,75115.0,75015.0,3.0,Non,,,,,,,,,Oui,gnraliste,3.0,,,,,,,,,,,,,,,,,,,,6.0,,,,RUE,,PECLET,752004273.0,13.0,136.0,13611.0,6485200132.0,6860579456.0
Cinma de la Bastille,75.0,Paris 11e Arrondissement,75111.0,75011.0,3.0,Non,,,,,,,,,Oui,gnraliste,3.0,,,,,,,,,,,,,,,,,,,,5.0,,,,RUE,,FAUBOURG SAINT-ANTOINE,752004246.0,13.0,136.0,13611.0,6538250922.0,6861641181.0
Cinma Elysees Lincoln,75.0,Paris 8e Arrondissement,75108.0,75008.0,3.0,Non,,,,,,,,,Oui,AE 2013,3.0,,,,,,,,,,,,,,,,,,,,14.0,,,,RUE,,LINCOLN,752004233.0,13.0,136.0,13611.0,6488847904.0,686361362.0
Cinma Espace Saint-Michel,75.0,Paris 5e Arrondissement,75105.0,75005.0,3.0,Non,,,,,,,,,Oui,AE 2013,2.0,,,,,,,,,,,,,,,,,,,,7.0,,,,PL,,SAINT-MICHEL,752004206.0,13.0,136.0,13611.0,6518812023.0,6861650505.0
Cinma Etoile Lilas,75.0,Paris 20e Arrondissement,75120.0,75020.0,3.0,Non,,,,,,,,,Oui,gnraliste,7.0,,,,,,,,,,,,,,,,,,,,,,,,PL,DU,MAQUIS DU VERCORS,753002084.0,13.0,136.0,13611.0,6566824585.0,6864348407.0
Cinma Etoile Saint-Germain,75.0,Paris 6e Arrondissement,75106.0,75006.0,3.0,Non,,,,,,,,,Oui,AE 2013,1.0,,,,,,,,,,,,,,,,,,,,22.0,,,,RUE,,GUILLAUME APOLLINAIRE,752004213.0,13.0,136.0,13611.0,6510806055.0,686182818.0
Cinma Gaumont Alsia,75.0,Paris 14e Arrondissement,75114.0,75014.0,3.0,Non,,,,,,,,,Oui,gnraliste,7.0,,,,,,,,,,,,,,,,,,,,73.0,,,,AV,,GENERAL LECLERC,752004262.0,13.0,136.0,13611.0,6506285606.0,6858893919.0
Cinma Gaumont Ambassade,75.0,Paris 8e Arrondissement,75108.0,75008.0,3.0,Non,,,,,,,,,Oui,gnraliste,7.0,,,,,,,,,,,,,,,,,,,,50.0,,,,AV,,CHAMPS ELYSEES,752004229.0,13.0,136.0,13611.0,6491586996.0,6863594688.0
Cinma Gaumont Aquaboulevard,75.0,Paris 15e Arrondissement,75115.0,75015.0,2.0,Non,,,,,,,,,Oui,gnraliste,14.0,,,,,,,,,,,,,,,,,,,,4.0,,,,RUE,,LOUIS ARMAND,752004272.0,13.0,136.0,13611.0,6469301073.0,6859442494.0
Cinma Gaumont Convention,75.0,Paris 15e Arrondissement,75115.0,75015.0,3.0,Non,,,,,,,,,Oui,gnraliste,6.0,,,,,,,,,,,,,,,,,,,,27.0,,,,RUE,,ALAIN CHARTIER,752004266.0,13.0,136.0,13611.0,6483466302.0,6859978657.0
Cinma Gaumont Gobelins,75.0,Paris 13e Arrondissement,75113.0,75013.0,3.0,Non,,,,,,,,,Oui,gnraliste,5.0,,,,,,,,,,,,,,,,,,,,58.0,,,,AV,,GOBELINS,752004253.0,13.0,136.0,13611.0,6525640309.0,6859473285.0
Cinma Gaumont Marignan,75.0,Paris 8e Arrondissement,75108.0,75008.0,3.0,Non,,,,,,,,,Oui,gnraliste,6.0,,,,,,,,,,,,,,,,,,,,27.0,,,,AV,,CHAMPS ELYSEES,752004228.0,13.0,136.0,13611.0,6492015464.0,6863492565.0
Cinma Gaumont Montparnos,75.0,Paris 14e Arrondissement,75114.0,75014.0,3.0,Non,,,,,,,,,Oui,gnraliste,4.0,,,,,,,,,,,,,,,,,,,,16.0,,,,RUE,,ODESSA,752004265.0,13.0,136.0,13611.0,6504210398.0,6860444783.0
Cinma Gaumont Opra Franais,75.0,Paris 9e Arrondissement,75109.0,75009.0,3.0,Non,,,,,,,,,Oui,gnraliste,5.0,,,,,,,,,,,,,,,,,,,,38.0,,,,BD,,ITALIENS,752004238.0,13.0,136.0,13611.0,6511791232.0,6863668029.0
Cinma Gaumont Opra Premier,75.0,Paris 2e Arrondissement,75102.0,75002.0,3.0,Non,,,,,,,,,Oui,gnraliste,6.0,,,,,,,,,,,,,,,,,,,,32.0,,,,RUE,,LOUIS LE GRAND,752004186.0,13.0,136.0,13611.0,6511721489.0,6863607153.0
Cinma Gaumont Parnasse,75.0,Paris 14e Arrondissement,75114.0,75014.0,2.0,Non,,,,,,,,,Oui,gnraliste,15.0,,,,,,,,,,,,,,,,,,,,3.0,,,,RUE,,ODESSA,752004264.0,13.0,136.0,13611.0,6504192329.0,6860545639.0
Cinma Gaumount Opra,75.0,Paris 9e Arrondissement,75109.0,75009.0,3.0,Non,,,,,,,,,Oui,gnraliste,7.0,,,,,,,,,,,,,,,,,,,,2.0,,,,BD,,CAPUCINES,752004236.0,13.0,136.0,13611.0,6511326852.0,6863656744.0
